Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-04-08,0.0498,0.05206,0.04622,0.04804,347444.5031,2024-04-14 23:59:59.999,17094.10819886,1026274,165892.3411,8161.53127346,0
2024-04-15,0.04805,0.04931,0.04745,0.04847,240532.5584,2024-04-21 23:59:59.999,11663.77463966,824244,118990.3922,5770.84270752,0
2024-04-22,0.04847,0.05249,0.04767,0.0517,200883.8184,2024-04-28 23:59:59.999,9976.93761986,897817,101519.1686,5048.67746493,0
2024-04-29,0.05169,0.05193,0.04858,0.04899,232315.6953,2024-05-05 23:59:59.999,11649.41652741,794760,113518.375,5694.02247393,0
2024-05-06,0.04899,0.04957,0.04764,0.04765,121762.454,2024-05-12 23:59:59.999,5881.30587362,471064,56609.7981,2735.6543513,0
2024-05-13,0.04765,0.04773,0.04473,0.04633,196983.2968,2024-05-19 23:59:59.999,9102.12631137,764788,90211.1985,4164.79710061,0
2024-05-20,0.04634,0.0571,0.04574,0.05585,847712.8538,2024-05-26 23:59:59.999,45255.61694678,3112357,427703.9379,22817.94673654,0
2024-05-27,0.05584,0.05744,0.05456,0.0558,225672.0132,2024-06-02 23:59:59.999,12663.51740261,1152375,113576.3772,6372.99676326,0
2024-06-03,0.05579,0.05581,0.05218,0.05321,159189.0372,2024-06-09 23:59:59.999,8575.31247192,622126,74795.01,4029.86289026,0
2024-06-10,0.05322,0.05472,0.05151,0.05436,174653.2668,2024-06-16 23:59:59.999,9180.86739749,902060,88381.6856,4649.22302529,0
2024-06-17,0.05437,0.05506,0.05191,0.05413,170250.6613,2024-06-23 23:59:59.999,9175.49209809,912104,86463.2933,4660.94828754,0
2024-06-24,0.05412,0.0563,0.05324,0.05478,178293.9185,2024-06-30 23:59:59.999,9836.28929512,1059573,86817.2109,4789.43600191,0
2024-07-01,0.05477,0.05542,0.05201,0.05246,225960.3798,2024-07-07 23:59:59.999,12139.58339812,1490250,107778.5602,5794.4951865,0
2024-07-08,0.05247,0.05453,0.05186,0.05337,194863.3402,2024-07-14 23:59:59.999,10403.63660295,1453859,94667.2992,5054.3709988,0
2024-07-15,0.05337,0.05414,0.05155,0.05188,188950.9134,2024-07-21 23:59:59.999,10017.65110259,1684170,91425.1909,4851.23526344,0
2024-07-22,0.05187,0.05306,0.0473,0.04792,314825.0136,2024-07-28 23:59:59.999,15744.8520632,1313575,155664.6131,7785.98320698,0
2024-07-29,0.04792,0.05036,0.04602,0.04624,270027.2885,2024-08-04 23:59:59.999,13138.70888905,1368195,133611.6251,6510.92940357,0
2024-08-05,0.04624,0.04634,0.04008,0.04352,496548.4527,2024-08-11 23:59:59.999,21696.22260355,1903064,230104.3495,10056.25754552,0
2024-08-12,0.04352,0.04613,0.043,0.04469,205725.1333,2024-08-18 23:59:59.999,9186.79551024,1051560,101504.3722,4532.92953734,0
2024-08-19,0.0447,0.04509,0.04266,0.04276,163756.3989,2024-08-25 23:59:59.999,7125.99153953,834892,76834.4267,3342.89044964,0
2024-08-26,0.04276,0.043,0.0404,0.04234,160171.7739,2024-09-01 23:59:59.999,6770.00205426,936888,78142.1641,3305.90993032,0
2024-09-02,0.04235,0.0434,0.04085,0.04186,170906.5174,2024-09-08 23:59:59.999,7198.60276822,927269,83700.3939,3525.96821622,0
2024-09-09,0.04187,0.04214,0.03893,0.03918,162551.5845,2024-09-15 23:59:59.999,6621.84836538,1052628,75462.6157,3073.81545472,0
2024-09-16,0.03917,0.0415,0.03833,0.0406,200728.8001,2024-09-22 23:59:59.999,7915.71067296,949654,108218.4143,4263.19469307,0
2024-09-23,0.04059,0.04243,0.04025,0.04051,137018.1095,2024-09-29 23:59:59.999,5630.19443241,1019149,70956.2269,2915.80639685,0
2024-09-30,0.04051,0.0415,0.03841,0.03884,143420.4135,2024-10-06 23:59:59.999,5708.73566237,771864,70456.0405,2807.1635147,0
2024-10-07,0.03884,0.03987,0.03851,0.03926,137089.9668,2024-10-13 23:59:59.999,5375.04464883,582514,72679.5972,2850.70600619,0
2024-10-14,0.03927,0.04006,0.0384,0.03979,167548.0606,2024-10-20 23:59:59.999,6549.08636846,643642,85616.3708,3347.81393137,0
2024-10-21,0.0398,0.03987,0.03623,0.03687,154423.8161,2024-10-27 23:59:59.999,5851.60267923,683816,75735.1593,2870.58978712,0
2024-10-28,0.03687,0.03779,0.03556,0.03573,186106.9116,2024-11-03 23:59:59.999,6781.99293457,654473,92593.8067,3374.80357699,0
2024-11-04,0.03574,0.04114,0.03465,0.03962,427153.7024,2024-11-10 23:59:59.999,16141.67554404,1470619,214101.0222,8091.09440446,0
2024-11-11,0.03961,0.03974,0.03358,0.03423,439335.2571,2024-11-17 23:59:59.999,15974.70939185,1750848,206554.3231,7506.64472033,0
2024-11-18,0.03423,0.03563,0.03187,0.03432,479220.1745,2024-11-24 23:59:59.999,16222.67662273,1653683,229087.6115,7762.92920189,0
2024-11-25,0.03432,0.03871,0.03403,0.03814,391901.3782,2024-12-01 23:59:59.999,14468.23369491,1632395,196862.603,7264.43165335,0
2024-12-02,0.03814,0.04076,0.03701,0.0396,474968.875,2024-12-08 23:59:59.999,18442.01661584,1880909,227478.2093,8839.1700714,0
2024-12-09,0.0396,0.0399,0.03699,0.0379,285387.619,2024-12-15 23:59:59.999,10946.76038193,1175750,136720.1087,5247.39820935,0
2024-12-16,0.03791,0.03832,0.03337,0.03448,320245.9839,2024-12-22 23:59:59.999,11470.54313398,903045,153711.1266,5508.13360869,0
2024-12-23,0.03448,0.03672,0.03429,0.0358,133041.7693,2024-12-29 23:59:59.999,4717.36596969,316862,66425.1266,2356.03849787,0
2024-12-30,0.0358,0.03735,0.03538,0.03696,117242.6532,2025-01-05 23:59:59.999,4245.7220295,345888,58302.0035,2112.54816584,0
2025-01-06,0.03697,0.03719,0.03423,0.03456,134570.0484,2025-01-12 23:59:59.999,4747.85264902,460862,62997.018,2223.03038754,0
2025-01-13,0.03456,0.03483,0.02996,0.03173,305833.9723,2025-01-19 23:59:59.999,9928.73049309,913535,146657.273,4763.19035973,0
2025-01-20,0.03173,0.03255,0.03054,0.03151,231110.9032,2025-01-26 23:59:59.999,7306.72182055,786913,114791.436,3630.20303247,0
