Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-18,41333.16,44410.37,40508.33,43029.46,8290.36357,2023-12-24 23:59:59.999,356215314.3014558,191030,4046.89234,173719839.2907331,0
2023-12-25,43020.77,43817.21,41284.28,42274.27,7140.28937,2023-12-31 23:59:59.999,304279428.6904158,169371,3796.22253,161671120.1522898,0
2024-01-01,42274.27,45917.99,40555.0,43949.18,10788.89909,2024-01-07 23:59:59.999,473985266.0927008,296169,5283.56613,231934672.290853,0
2024-01-08,43952.73,49000.0,41382.95,41709.38,13389.45995,2024-01-14 23:59:59.999,606611922.2191783,535349,6555.923,297024530.943613,0
2024-01-15,41700.0,43564.0,40250.0,41555.4,10594.12261,2024-01-21 23:59:59.999,446957820.2025864,351486,5506.46549,232210729.2953173,0
2024-01-22,41553.64,42831.67,38508.01,42026.53,11010.16147,2024-01-28 23:59:59.999,446860174.29465616,419088,5584.98111,226592639.20544752,0
2024-01-29,42026.54,43916.0,41792.83,42561.28,6928.40336,2024-02-04 23:59:59.999,297395307.383132,422062,3729.08213,160061570.813171,0
2024-02-05,42567.25,48600.0,42232.98,48314.26,6145.9587,2024-02-11 23:59:59.999,277998830.5594219,367531,3307.67964,149025702.3182555,0
2024-02-12,48316.65,52843.76,47719.39,52149.98,6640.60603,2024-02-18 23:59:59.999,337921225.0970341,520385,3683.43211,187490112.79993087,0
2024-02-19,52153.26,52999.99,50500.0,51720.0,4499.23931,2024-02-25 23:59:59.999,231862676.6104689,356641,2514.9018,129577448.1675052,0
2024-02-26,51730.26,64140.67,50895.42,63148.45,8780.88329,2024-03-03 23:59:59.999,521083637.5719818,810884,4530.35658,268056606.651558,0
2024-03-04,63143.11,70315.2,59112.0,69029.99,12559.11643,2024-03-10 23:59:59.999,836260447.0591965,1134620,6528.70727,434710566.06291515,0
2024-03-11,69029.99,73816.97,64500.0,68344.0,10975.1576,2024-03-17 23:59:59.999,768482790.8682638,903337,5865.41563,411539391.3952172,0
2024-03-18,68343.73,68916.0,60750.0,67178.73,12921.28261,2024-03-24 23:59:59.999,837883518.1715355,958991,6395.11747,414880982.72005135,0
2024-03-25,67201.99,71787.47,66369.84,71308.0,4414.72867,2024-03-31 23:59:59.999,307864760.124913,445922,2281.83098,159087514.3586329,0
2024-04-01,71288.01,71301.68,64500.0,69357.99,3901.29881,2024-04-07 23:59:59.999,262809871.6415368,483033,1918.74542,129187046.8930837,0
2024-04-08,69357.24,72758.94,60002.1,65732.05,7015.092,2024-04-14 23:59:59.999,472839140.20657766,716199,3488.17653,235404861.79303312,0
2024-04-15,65728.01,66950.63,59610.57,64937.98,6430.93377,2024-04-21 23:59:59.999,408460092.2511852,652255,3400.85635,216025183.44622007,0
2024-04-22,64944.01,67256.0,62361.43,63097.14,4477.03057,2024-04-28 23:59:59.999,290278712.0856468,399060,2235.05249,144947520.0183835,0
2024-04-29,63072.01,64708.5,56500.0,64018.01,10056.48356,2024-05-05 23:59:59.999,607291645.1778036,682235,5180.07517,313016488.0887284,0
2024-05-06,64026.19,65565.74,60162.49,61453.99,7596.75865,2024-05-12 23:59:59.999,474988394.1174657,607271,3842.20466,240102067.720899,0
